msisdn,partner,partner_product_id,order_type,event_id
8801767584854,GP,GP-DATA-001,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584854,BL,BL-TALK-002,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584854,ROBI,ROBI-INT-003,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584851,SKT,SKT-SMS-004,gift,EVT20250409XYZABCDEFGHIJKLMN0
8801767584854,GP,GP-COMBO-005,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584856,BL,BL-DATA-006,gift,EVT20250409XYZABCDEFGHIJKLMN0
8801767584854,ROBI,ROBI-TALK-007,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584858,SKT,SKT-COMBO-008,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584854,GP,GP-DATA-009,gift,EVT20250409XYZABCDEFGHIJKLMN01
8801767584854,BL,BL-SPECIAL-010,gift,EVT20250409XYZABCDEFGHIJKLMN01
